Mes,Dia,Ano,Hora,Minutos,Dia da semana,city_name,road_num,road_name,current_speed,free_flow_speed,speed_diff,current_travel_time,free_flow_travel_time,time_diff,elimina
8,2,2018,8,0,5,missing,,Avenida Central,20,25,4,156,124,32,123
8,2,2018,8,0,5,missing,,Avenida João Paulo II,33,39,5,11,9,2,123
8,2,2018,9,0,5,missing,,N14 Bosch,33,47,13,72,48,24,124
8,2,2018,9,0,5,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,124
8,2,2018,9,0,5,missing,,Rua Nova Santa Cruz,38,43,5,52,39,12,124
8,2,2018,9,0,5,missing,,Rua Costa Gomes,19,40,21,22,42,-19,124
8,2,2018,9,0,5,missing,,Avenida da Liberdade,23,25,1,136,124,12,124
8,2,2018,9,0,5,missing,,Rua de Caires,24,36,12,69,36,33,124
8,2,2018,9,0,5,missing,,Avenida Central,23,25,1,136,124,12,124
8,2,2018,9,0,5,missing,,Avenida João Paulo II,39,39,0,9,9,0,124
8,6,2018,14,0,2,missing,,N14 Bosch,27,47,19,93,48,45,125
8,6,2018,14,0,2,missing,,Avenida Padre Júlio Fragata,63,67,3,92,83,9,125
8,6,2018,14,0,2,missing,,Rua Nova Santa Cruz,38,43,5,47,39,8,125
8,6,2018,14,0,2,missing,,Rua Costa Gomes,7,40,33,14,42,-27,125
8,6,2018,14,0,2,missing,,Avenida da Liberdade,21,25,3,150,124,26,125
8,6,2018,14,0,2,missing,,Rua de Caires,28,36,7,51,36,14,125
8,6,2018,14,0,2,missing,,Avenida Central,21,25,3,150,124,26,125
8,6,2018,14,0,2,missing,,Avenida João Paulo II,34,39,4,12,9,3,125
8,8,2018,7,0,4,missing,,N14 Bosch,42,47,4,55,48,7,126
8,8,2018,7,0,4,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,126
8,8,2018,7,0,4,missing,,Rua Nova Santa Cruz,42,43,1,41,39,2,126
8,8,2018,7,0,4,missing,,Rua Costa Gomes,15,40,25,15,42,-26,126
8,8,2018,7,0,4,missing,,Avenida da Liberdade,25,25,0,124,124,0,126
8,8,2018,7,0,4,missing,,Rua de Caires,28,36,7,53,36,16,126
8,8,2018,7,0,4,missing,,Avenida Central,25,25,0,124,124,0,126
8,8,2018,7,0,4,missing,,Avenida João Paulo II,39,39,0,9,9,0,126
8,8,2018,15,0,4,missing,,N14 Bosch,31,47,15,77,48,29,127
8,8,2018,15,0,4,missing,,Avenida Padre Júlio Fragata,58,67,8,122,83,39,127
8,8,2018,15,0,4,missing,,Rua Nova Santa Cruz,37,43,6,48,39,9,127
8,8,2018,15,0,4,missing,,Rua Costa Gomes,16,40,24,27,42,-15,127
8,8,2018,15,0,4,missing,,Avenida da Liberdade,19,25,6,171,124,47,127
8,8,2018,15,0,4,missing,,Rua de Caires,30,36,6,46,36,9,127
8,8,2018,15,0,4,missing,,Avenida Central,19,25,6,171,124,47,127
8,8,2018,15,0,4,missing,,Avenida João Paulo II,33,39,5,14,9,5,127
8,9,2018,6,0,5,missing,,N14 Bosch,47,47,0,48,48,0,128
8,9,2018,6,0,5,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,128
8,9,2018,6,0,5,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,128
8,9,2018,6,0,5,missing,,Rua Costa Gomes,15,40,25,15,42,-26,128
8,9,2018,6,0,5,missing,,Avenida da Liberdade,25,25,0,124,124,0,128
8,9,2018,6,0,5,missing,,Rua de Caires,36,36,0,36,36,0,128
8,9,2018,6,0,5,missing,,Avenida Central,25,25,0,124,124,0,128
8,9,2018,6,0,5,missing,,Avenida João Paulo II,37,39,1,9,9,0,128
8,9,2018,8,0,5,missing,,N14 Bosch,32,47,14,75,48,27,129
8,9,2018,8,0,5,missing,,Avenida Padre Júlio Fragata,54,67,12,108,83,25,129
8,9,2018,8,0,5,missing,,Rua Nova Santa Cruz,26,43,17,84,39,44,129
8,9,2018,8,0,5,missing,,Rua Costa Gomes,14,40,26,16,42,-25,129
8,9,2018,8,0,5,missing,,Avenida da Liberdade,20,25,4,155,124,31,129
8,9,2018,8,0,5,missing,,Rua de Caires,27,36,9,51,36,14,129
8,9,2018,8,0,5,missing,,Avenida Central,20,25,4,156,124,32,129
8,9,2018,8,0,5,missing,,Avenida João Paulo II,33,39,5,11,9,2,129
8,11,2018,10,0,7,missing,,N14 Bosch,39,47,7,58,48,10,130
8,11,2018,10,0,7,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,130
8,11,2018,10,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,130
8,11,2018,10,0,7,missing,,Rua Costa Gomes,8,40,32,11,42,-30,130
8,11,2018,10,0,7,missing,,Avenida da Liberdade,23,25,1,136,124,12,130
8,11,2018,10,0,7,missing,,Rua de Caires,29,36,6,47,36,10,130
8,11,2018,10,0,7,missing,,Avenida Central,23,25,1,136,124,12,130
8,11,2018,10,0,7,missing,,Avenida João Paulo II,36,39,2,9,9,0,130
8,11,2018,11,0,7,missing,,N14 Bosch,39,47,8,63,48,15,131
8,11,2018,11,0,7,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,131
8,11,2018,11,0,7,missing,,Rua Nova Santa Cruz,41,43,2,42,39,3,131
8,11,2018,11,0,7,missing,,Rua Costa Gomes,8,40,32,12,42,-29,131
8,11,2018,11,0,7,missing,,Avenida da Liberdade,23,25,1,134,124,10,131
8,11,2018,11,0,7,missing,,Rua de Caires,26,36,9,55,36,18,131
8,11,2018,11,0,7,missing,,Avenida Central,22,25,2,140,124,16,131
8,11,2018,11,0,7,missing,,Avenida João Paulo II,35,39,3,10,9,1,131
8,11,2018,14,0,7,missing,,N14 Bosch,44,47,2,53,48,5,132
8,11,2018,14,0,7,missing,,Avenida Padre Júlio Fragata,65,67,1,85,83,2,132
8,11,2018,14,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,132
8,11,2018,14,0,7,missing,,Rua Costa Gomes,8,40,32,12,42,-29,132
8,11,2018,14,0,7,missing,,Avenida da Liberdade,22,25,2,139,124,15,132
8,11,2018,14,0,7,missing,,Rua de Caires,30,36,5,44,36,8,132
8,11,2018,14,0,7,missing,,Avenida Central,22,25,2,140,124,16,132
8,11,2018,14,0,7,missing,,Avenida João Paulo II,36,39,2,9,9,0,132
8,11,2018,17,0,7,missing,,N14 Bosch,47,47,0,48,48,0,133
8,11,2018,17,0,7,missing,,Avenida Padre Júlio Fragata,64,67,2,86,83,3,133
8,11,2018,17,0,7,missing,,Rua Nova Santa Cruz,42,43,1,40,39,1,133
8,11,2018,17,0,7,missing,,Rua Costa Gomes,7,40,33,13,42,-28,133
8,11,2018,17,0,7,missing,,Avenida da Liberdade,22,25,2,142,124,18,133
8,11,2018,17,0,7,missing,,Rua de Caires,29,36,7,51,36,14,133
8,11,2018,17,0,7,missing,,Avenida Central,22,25,2,142,124,18,133
8,11,2018,17,0,7,missing,,Avenida João Paulo II,36,39,2,9,9,0,133
8,11,2018,18,0,7,missing,,N14 Bosch,44,47,2,51,48,3,134
8,11,2018,18,0,7,missing,,Avenida Padre Júlio Fragata,59,67,7,99,83,16,134
8,11,2018,18,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,134
8,11,2018,18,0,7,missing,,Rua Costa Gomes,10,40,30,9,42,-32,134
8,11,2018,18,0,7,missing,,Avenida da Liberdade,24,25,0,128,124,4,134
8,11,2018,18,0,7,missing,,Rua de Caires,34,36,1,39,36,2,134
8,11,2018,18,0,7,missing,,Avenida Central,24,25,0,128,124,4,134
