"Mes","Dia","Ano","Hora","Minutos","Dia da semana","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,31,2018,5,0,3,1,0,0,0,0
7,31,2018,6,0,3,1,0,0,0,0
7,31,2018,7,0,3,1,0,0,0,0
7,31,2018,8,0,3,1,0,0,0,0
7,31,2018,9,0,3,1,0,0,0,0
7,31,2018,10,0,3,1,0,0,0,0
7,31,2018,11,0,3,1,0,0,0,0
7,31,2018,12,0,3,1,0,0,0,0
7,31,2018,13,0,3,1,0,0,0,0
7,31,2018,14,0,3,1,0,0,0,0
7,31,2018,15,0,3,1,0,0,0,0
7,31,2018,16,0,3,1,0,0,0,0
7,31,2018,17,0,3,1,0,0,0,0
7,31,2018,18,0,3,1,0,0,0,0
7,31,2018,19,0,3,1,0,0,0,0
7,31,2018,20,0,3,1,0,0,0,0
7,31,2018,21,0,3,1,0,0,0,0
7,31,2018,22,0,3,1,0,0,0,0
7,31,2018,23,0,3,1,0,0,0,0
8,1,2018,0,0,4,1,0,0,0,0
8,1,2018,1,0,4,1,0,0,0,0
8,1,2018,2,0,4,1,0,0,0,0
8,1,2018,3,0,4,1,0,0,0,0
8,1,2018,4,0,4,1,0,0,0,0
8,1,2018,5,0,4,1,0,0,0,0
8,1,2018,6,0,4,1,0,0,0,0
8,1,2018,9,0,4,1,0,0,0,0
8,1,2018,10,0,4,1,0,0,0,0
8,1,2018,11,0,4,1,0,0,0,0
8,1,2018,12,0,4,1,0,0,0,0
8,1,2018,13,0,4,1,0,0,0,0
8,1,2018,14,0,4,1,0,0,0,0
8,1,2018,15,0,4,1,0,0,0,0
8,1,2018,16,0,4,1,0,0,0,0
8,1,2018,17,0,4,1,0,0,0,0
8,1,2018,18,0,4,1,0,0,0,0
8,1,2018,19,0,4,1,0,0,0,0
8,1,2018,20,0,4,1,0,0,0,0
8,1,2018,21,0,4,1,0,0,0,0
8,1,2018,22,0,4,1,0,0,0,0
8,1,2018,23,0,4,1,0,0,0,0
8,2,2018,0,0,5,1,0,0,0,0
8,2,2018,1,0,5,1,0,0,0,0
8,2,2018,2,0,5,1,0,0,0,0
8,2,2018,3,0,5,1,0,0,0,0
8,2,2018,4,0,5,1,0,0,0,0
8,2,2018,5,0,5,1,0,0,0,0
8,2,2018,6,0,5,1,0,0,0,0
8,2,2018,7,0,5,1,0,0,0,0
8,2,2018,8,0,5,1,0,0,0,0
8,2,2018,9,0,5,1,0,0,0,0
8,2,2018,10,0,5,1,0,0,0,0
8,2,2018,11,0,5,1,0,0,0,0
8,2,2018,12,0,5,1,0,0,0,0
8,2,2018,13,0,5,1,0,0,0,0
8,2,2018,14,0,5,1,0,0,0,0
8,2,2018,15,0,5,1,0,0,0,0
8,2,2018,16,0,5,1,0,0,0,0
8,2,2018,17,0,5,1,0,0,0,0
8,2,2018,18,0,5,1,0,0,0,0
8,2,2018,19,0,5,1,0,0,0,0
8,2,2018,20,0,5,1,0,0,0,0
8,2,2018,21,0,5,1,0,0,0,0
8,2,2018,22,0,5,1,0,0,0,0
8,2,2018,23,0,5,1,0,0,0,0
8,3,2018,0,0,6,1,0,0,0,0
8,3,2018,1,0,6,1,0,0,0,0
8,3,2018,2,0,6,1,0,0,0,0
8,3,2018,3,0,6,1,0,0,0,0
8,3,2018,4,0,6,1,0,0,0,0
8,3,2018,5,0,6,1,0,0,0,0
8,3,2018,6,0,6,1,0,0,0,0
8,3,2018,7,0,6,1,0,0,0,0
8,3,2018,8,0,6,1,0,0,0,0
8,3,2018,9,0,6,1,0,0,0,0
8,3,2018,10,0,6,1,0,0,0,0
8,3,2018,11,0,6,1,0,0,0,0
