description,from_road,to_road,length_in_meters,delay_in_seconds,Year,Month (number),Day of month,Hour,Minute,rua_name,dupl_from,dupl_to,new_from,new_to
stationary traffic,Avenida Central,N103 (N101),791,394,2018,12,7,18,0,Avenida Central,0,0,0,0
stationary traffic,N101 (Rua De Santa Margarida),Avenida Central,498,369,2018,12,7,18,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,381,212,2018,12,7,18,0,Avenida da Liberdade,0,0,0,0
queuing traffic,Rua Dos Barbosas (Avenida 31 De Janeiro),Avenida Central,733,207,2018,12,7,18,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,224,144,2018,12,7,18,0,Avenida Padre Júlio Fragata,0,0,1,1
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,205,193,2018,12,7,18,0,Avenida Padre Júlio Fragata,1,1,1,1
stationary traffic,Avenida João Paulo II,Avenida Padre Júlio Fragata,264,340,2018,12,7,18,0,Avenida Padre Júlio Fragata,0,1,0,1
stationary traffic,Avenida Padre Júlio Fragata,Avenida Dom João II,205,157,2018,12,7,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Rua Nova de Santa Cruz,Avenida João Paulo II,381,231,2018,12,7,18,0,Avenida João Paulo II,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,322,235,2018,12,7,19,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Praça Conselheiro Torres Almeida / Rua dos Biscaínhos,Avenida Central,322,220,2018,12,7,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,231,2018,12,7,19,0,Avenida Central,0,0,1,0
stationary traffic,Avenida Central,N103 (N101),755,405,2018,12,7,19,0,Avenida Central,1,0,1,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),250,158,2018,12,7,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,272,2018,12,7,19,0,Avenida Central,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,218,2018,12,7,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Doutor Porfírio da Silva / Rua de Baixo,Avenida da Liberdade,358,220,2018,12,7,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida João Paulo II,Avenida Padre Júlio Fragata,264,347,2018,12,7,19,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida Dom João II,205,155,2018,12,7,19,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Rua Nova de Santa Cruz,Avenida João Paulo II,147,201,2018,12,7,19,0,Avenida João Paulo II,0,0,0,0
stationary traffic,Rua Álvaro,Rua Nova de Santa Cruz,147,194,2018,12,7,19,0,Rua Nova de Santa Cruz,0,0,1,1
stationary traffic,Rua Álvaro,Rua Nova de Santa Cruz,264,184,2018,12,7,19,0,Rua Nova de Santa Cruz,1,1,1,1
stationary traffic,Nogueiró,Avenida João Paulo II,205,174,2018,12,7,19,0,Avenida João Paulo II,0,0,0,0
stationary traffic,M564 (N205-4),Rua Costa Gomes,498,183,2018,12,7,19,0,Rua Costa Gomes,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),291,189,2018,12,7,20,0,Avenida Central,0,0,1,0
queuing traffic,Avenida Central,N103 (N101),623,157,2018,12,7,20,0,Avenida Central,1,0,1,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),208,122,2018,12,7,20,0,Avenida da Liberdade,0,0,1,0
stationary traffic,Avenida da Liberdade,Avenida Doutor Porfírio da Silva / Rua de Baixo,498,270,2018,12,7,20,0,Avenida da Liberdade,1,0,1,0
stationary traffic,Avenida Doutor Porfírio da Silva / Rua de Baixo,Avenida da Liberdade,358,156,2018,12,7,20,0,Avenida da Liberdade,0,0,0,1
stationary traffic,Rua Bernardo Sequeira / Rua Cândido de Oliveira,Avenida da Liberdade,205,167,2018,12,7,20,0,Avenida da Liberdade,0,1,0,1
queuing traffic,Rua Dos Barbosas (Avenida 31 De Janeiro),Avenida Central,652,239,2018,12,7,20,0,Avenida Central,0,0,0,0
stationary traffic,Rua Lusíadas / Rua dos Peões,Avenida João Paulo II,602,463,2018,12,7,20,0,Avenida João Paulo II,0,0,0,0
