"Mes","Dia","Ano","Hora","Minutos","Dia da semana","city_name","road_num","road_name","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff"
7,25,2018,17,0,4,"Braga",3,"Rua de Caires",14,37,23,96,36,60
7,25,2018,17,0,4,"Braga",4,"N14 Bosch",17,47,30,132,48,84
7,25,2018,17,0,4,"Braga",5,"Avenida João Paulo II",22,39,17,16,9,7
7,25,2018,17,0,4,"Braga",6,"Avenida Padre Júlio Fragata",38,67,29,147,83,64
7,25,2018,17,0,4,"Braga",7,"Rua Nova Santa Cruz",34,43,9,51,40,11
7,25,2018,17,0,4,"Braga",8,"Rua Costa Gomes",23,40,17,75,43,32
7,25,2018,18,0,4,"Braga",1,"Avenida da Liberdade",17,25,8,182,124,58
7,25,2018,18,0,4,"Braga",2,"Avenida Central",17,25,8,182,124,58
7,25,2018,18,0,4,"Braga",3,"Rua de Caires",25,37,12,54,36,18
7,25,2018,18,0,4,"Braga",4,"N14 Bosch",25,47,22,90,48,42
7,25,2018,18,0,4,"Braga",5,"Avenida João Paulo II",22,39,17,16,9,7
7,25,2018,18,0,4,"Braga",6,"Avenida Padre Júlio Fragata",19,67,48,293,83,210
7,25,2018,18,0,4,"Braga",7,"Rua Nova Santa Cruz",34,43,9,51,40,11
7,25,2018,18,0,4,"Braga",8,"Rua Costa Gomes",17,40,23,102,43,59
7,25,2018,19,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,19,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,19,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,19,0,4,"Braga",4,"N14 Bosch",34,47,13,66,48,18
7,25,2018,19,0,4,"Braga",5,"Avenida João Paulo II",29,39,10,12,9,3
7,25,2018,19,0,4,"Braga",6,"Avenida Padre Júlio Fragata",52,67,15,107,83,24
7,25,2018,19,0,4,"Braga",7,"Rua Nova Santa Cruz",26,43,17,66,40,26
7,25,2018,19,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,20,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,20,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,20,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,20,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,20,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,20,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,20,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,20,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,21,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,21,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,21,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,21,0,4,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,25,2018,21,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,21,0,4,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,25,2018,21,0,4,"Braga",7,"Rua Nova Santa Cruz",27,43,16,64,40,24
7,25,2018,21,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,25,2018,22,0,4,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,25,2018,22,0,4,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,25,2018,22,0,4,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,25,2018,22,0,4,"Braga",4,"N14 Bosch",31,47,16,72,48,24
7,25,2018,22,0,4,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,25,2018,22,0,4,"Braga",6,"Avenida Padre Júlio Fragata",51,67,16,109,83,26
7,25,2018,22,0,4,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,25,2018,22,0,4,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,0,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,0,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,0,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,0,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,0,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,0,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,0,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
