Mes,Dia,Ano,Hora,Minutos,Dia da semana,free_flow_distance,total_time,total_speed,length_in_meters,delay_in_seconds,incidente,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,no_rain,chuva_fraca,chuva,chuva_trovoada,chuva_intensa,diif_ranker
7.0,26.0,2018.0,14.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1016.0,68.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,15.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,73.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,16.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,77.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,17.0,0.0,5.0,5561.0,136.0,40.89,0.0,0.0,0.0,20.0,1016.0,82.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,26.11
7.0,26.0,2018.0,18.0,0.0,5.0,5561.0,253.0,21.98,0.0,0.0,0.0,21.0,1016.0,77.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,45.02
7.0,26.0,2018.0,19.0,0.0,5.0,5561.0,107.0,51.972,0.0,0.0,0.0,19.0,1016.0,82.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.028
7.0,26.0,2018.0,20.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,21.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1017.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,22.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,16.0,1016.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,23.0,0.0,5.0,5561.0,86.0,64.663,0.0,0.0,0.0,16.0,1016.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.337
7.0,27.0,2018.0,0.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,16.0,1016.0,100.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,1.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1016.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,2.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,3.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,4.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,100.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,5.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,6.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,97.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,7.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,8.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,19.0,1016.0,88.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,9.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,68.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,10.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,77.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,11.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,77.0,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,12.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1016.0,64.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,13.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,23.0,1015.0,49.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,14.0,0.0,6.0,5561.0,89.0,62.483,0.0,0.0,0.0,21.0,1016.0,77.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,4.517
7.0,27.0,2018.0,15.0,0.0,6.0,5561.0,118.0,47.127,0.0,0.0,0.0,21.0,1016.0,77.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,19.873
7.0,27.0,2018.0,16.0,0.0,6.0,5561.0,114.0,48.781,0.0,0.0,0.0,21.0,1016.0,73.0,6.0,20.0,1.0,0.0,0.0,0.0,0.0,18.219
7.0,27.0,2018.0,17.0,0.0,6.0,5561.0,142.0,39.162,0.0,0.0,0.0,22.0,1016.0,68.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,27.838
7.0,27.0,2018.0,18.0,0.0,6.0,5561.0,285.0,19.512,0.0,0.0,0.0,21.0,1016.0,68.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,47.488
7.0,27.0,2018.0,19.0,0.0,6.0,5561.0,209.0,26.608,0.0,0.0,0.0,19.0,1016.0,77.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,40.392
7.0,27.0,2018.0,20.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,19.0,1017.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,21.0,0.0,6.0,5561.0,85.0,65.424,0.0,0.0,0.0,17.0,1017.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.576
7.0,27.0,2018.0,22.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1017.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,23.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,16.0,1017.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,10.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,23.0,1017.0,69.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,11.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,24.0,1016.0,64.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,12.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,24.0,1016.0,60.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,13.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,25.0,1015.0,57.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,14.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1015.0,54.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,15.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1014.0,51.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,16.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1014.0,47.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,17.0,0.0,4.0,5561.0,133.0,41.812,0.0,0.0,0.0,28.0,1014.0,45.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,25.188
8.0,1.0,2018.0,18.0,0.0,4.0,5561.0,242.0,22.979,180.0,295.0,1.0,26.0,1013.0,57.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,44.021
8.0,1.0,2018.0,19.0,0.0,4.0,5561.0,155.0,35.877,0.0,0.0,0.0,25.0,1013.0,61.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,31.123
8.0,1.0,2018.0,20.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,23.0,1013.0,69.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,21.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1013.0,78.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2018.0,22.0,0.0,4.0,5561.0,116.0,47.94,0.0,0.0,0.0,20.0,1013.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.06
8.0,1.0,2018.0,23.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1013.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,0.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1013.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,1.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,20.0,1013.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,2.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1013.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,3.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,19.0,1013.0,93.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,4.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,19.0,1013.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,5.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1013.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,6.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1013.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,7.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,25.0,1013.0,73.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,8.0,0.0,5.0,5561.0,108.0,51.491,0.0,0.0,0.0,28.0,1014.0,65.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.509
8.0,2.0,2018.0,9.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,31.0,1014.0,43.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,10.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1014.0,65.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,11.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,28.0,1014.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,12.0,0.0,5.0,5561.0,107.0,51.972,0.0,0.0,0.0,28.0,1014.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.028
8.0,2.0,2018.0,13.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1014.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,14.0,0.0,5.0,5561.0,107.0,51.972,0.0,0.0,0.0,31.0,1014.0,48.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,15.028
8.0,2.0,2018.0,15.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,31.0,1014.0,48.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,16.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,33.0,1013.0,41.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,17.0,0.0,5.0,5561.0,107.0,51.972,430.0,25.0,1.0,33.0,1013.0,41.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.028
8.0,2.0,2018.0,18.0,0.0,5.0,5561.0,155.0,35.877,0.0,0.0,0.0,32.0,1013.0,43.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,31.123
8.0,2.0,2018.0,19.0,0.0,5.0,5561.0,107.0,51.972,0.0,0.0,0.0,30.0,1013.0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.028
8.0,2.0,2018.0,20.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,28.0,1014.0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,21.0,0.0,5.0,5561.0,119.0,46.731,0.0,0.0,0.0,26.0,1014.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,20.269
8.0,2.0,2018.0,22.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,24.0,1015.0,69.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,2018.0,23.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,25.0,1014.0,61.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,0.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,23.0,1015.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,1.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1014.0,78.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,2.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1014.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,3.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1014.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,4.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1014.0,83.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,5.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,24.0,1014.0,73.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,6.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,25.0,1014.0,61.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,7.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1015.0,57.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,8.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,30.0,1015.0,55.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,9.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,27.0,1016.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,10.0,0.0,6.0,5561.0,114.0,48.781,0.0,0.0,0.0,31.0,1016.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.219
8.0,3.0,2018.0,11.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,28.0,1017.0,58.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,12.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,25.0,1017.0,65.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,13.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,26.0,1017.0,65.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,3.0,2018.0,14.0,0.0,6.0,5561.0,83.0,67.0,840.0,130.0,1.0,33.0,1016.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
